year,hr,tree,lls
0,13317,98933,95
20,5551,51994,18
40,2981,9381,24
60,2565,7965,9
80,2002,6692,4
100,914,3643,20
120,398,1557,1
140,273,1481,1
160,420,2299,3
180,3865,11539,32
200,1268,4954,13
220,179,1434,1
240,113,1668,8
260,76,1639,0
280,103,1609,0
300,245,2600,5
320,134,2230,0
340,78,2588,5
360,87,2165,0
380,87,2459,6
400,202,3010,4
420,120,2413,6
440,109,2236,3
460,88,1794,3
480,70,1604,2
500,294,2000,14
520,144,1704,5
540,115,1315,6
560,182,1751,4
580,87,1494,4
600,229,1953,23
620,130,1809,11
640,79,1591,10
660,77,1423,7
680,71,1874,11
700,349,2781,43
720,105,1983,30
740,216,4357,20
760,178,3421,18
780,139,3036,21
800,550,5873,57
820,214,4112,31
840,218,5663,30
860,217,5948,72
880,255,5494,20
900,595,7127,126
920,296,6904,52
940,236,6651,45
960,296,7422,65
980,261,8274,26
1000,1653,13853,205
1020,800,14309,70
1040,573,12825,76
1060,513,13994,83
1080,977,16328,103
1100,826,14838,153
1120,469,14835,107
1140,421,13343,170
1160,470,14572,118
1180,648,15498,94
1200,1043,16977,283
1220,1164,17665,167
1240,649,15964,179
1260,911,17520,169
1280,670,16776,301
1300,1405,20225,517
1320,858,18637,186
1340,751,17635,221
1360,911,18319,552
1380,967,20348,155
1400,2545,25381,386
1420,1434,23849,359
1440,2557,29061,337
1460,3264,34881,247
1480,4118,45536,195
1500,52985,61967,1183
1520,10483,59738,418
1540,21110,75139,680
1560,20202,85265,701
1580,32544,116413,791
1600,96611,154324,2043
1620,49230,159682,1121
1640,68677,183843,1236
1660,78498,205858,2019
1680,106731,255867,2098
1700,251068,348793,4591
1720,216676,385697,3641
1740,325642,482729,6362
1760,480794,569810,6650
1780,805894,796880,10389
1800,1558041,1191462,18948
1820,2176804,1464857,20098
1840,3127247,2017607,25126
1860,3879838,2594289,28850
1880,4494698,3585516,33147
1900,4841154,4766006,38007
1920,3967704,5000342,27622
1940,2828392,3645245,19369
1960,2063900,2607740,13950
1980,1546410,2462618,10637
2000,1144219,2590380,8105
2020,294393,604687,3745
2040,9638,17932,0
"*",3745900,5063945,81200
