year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
"*",any,,68228,7722776
"*",birth,,43390,3702510
"*",birthfindike,,,2
"*",death,,41867,1338464
"*",marriage,,13124,731397
"*",other,,388,11400
"*",residence,,9082,328012
1,any,,877,489
1,birth,1409,3370,419
1,death,799,191,150
1,marriage,,168,152
1,other,,16,16
1,residence,,28,26
2,any,,86,23
2,birth,408,74,8
2,death,358,43,
2,marriage,,22,6
2,other,,,6
2,residence,,17,
3,any,,33,28
3,birth,338,75,11
3,death,293,42,12
3,marriage,,30,
3,residence,,8,
4,any,,23,20
4,birth,221,63,10
4,death,192,30,2
4,marriage,,31,
5,any,,42,6
5,birth,369,35,65
5,death,343,15,56
5,marriage,,34,38
5,residence,,,4
6,any,,14,17
6,birth,228,57,69
6,death,212,21,30
6,marriage,,20,23
6,residence,,,2
7,any,,23,69
7,birth,183,60,177
7,death,158,19,108
7,marriage,,4,89
7,residence,,,4
8,any,,57,28
8,birth,243,111,59
8,death,225,28,29
8,marriage,,41,27
9,any,,35,12
9,birth,285,43,31
9,death,202,32,13
9,marriage,,13,9
10,any,,43,23
10,birth,250,83,65
10,death,226,29,47
10,marriage,,18,19
11,any,,28,8
11,birth,170,72,49
11,death,145,12,22
11,marriage,,,11
12,any,,28,33
12,birth,294,65,72
12,death,259,31,37
12,marriage,,28,42
12,residence,,,6
13,any,,32,19
13,birth,193,80,37
13,death,160,18,33
13,marriage,,31,15
14,any,,36,27
14,birth,176,69,80
14,death,142,42,71
14,marriage,,7,62
15,any,,110,69
15,birth,292,160,68
15,death,254,82,25
15,marriage,,35,40
15,residence,,24,21
16,any,,29,36
16,birth,136,97,76
16,death,114,35,36
16,marriage,,23,30
16,residence,,2,3
17,any,,143,16
17,birth,144,181,83
17,death,127,107,41
17,marriage,,82,51
17,other,,4,
17,residence,,15,
18,any,,491,43
18,birth,411,320,105
18,death,327,108,61
18,marriage,,57,15
18,other,,35,12
18,residence,,40,6
19,any,,349,106
19,birth,695,252,121
19,death,596,110,70
19,marriage,,85,73
19,other,,14,
19,residence,,39,1
20,any,,55,36
20,birth,377,51,125
20,death,358,22,78
20,marriage,,10,53
20,residence,,,13
21,any,,42,43
21,birth,176,54,367
21,death,155,9,280
21,marriage,,17,145
21,residence,,12,23
22,any,,30,27
22,birth,177,68,96
22,death,154,32,73
22,marriage,,14,38
23,any,,31,11
23,birth,190,82,41
23,death,165,19,34
23,marriage,,9,26
24,any,,16,12
24,birth,151,79,33
24,death,119,22,19
24,marriage,,12,20
24,other,,,8
25,any,,81,30
25,birth,252,104,61
25,death,233,74,28
25,marriage,,60,27
25,residence,,,12
26,any,,19,30
26,birth,205,58,96
26,death,158,20,48
26,marriage,,3,29
27,any,,12,8
27,birth,162,79,67
27,death,135,17,49
27,marriage,,15,17
28,any,,27,20
28,birth,175,58,78
28,death,159,22,22
28,marriage,,15,34
28,residence,,2,14
29,any,,27,19
29,birth,138,71,44
29,death,114,20,43
29,marriage,,20,31
30,any,,36,29
30,birth,381,47,50
30,death,361,11,36
30,marriage,,3,8
31,any,,6,12
31,birth,94,34,41
31,death,81,3,23
31,marriage,,,18
32,any,,10,3
32,birth,122,22,39
32,death,114,,23
32,marriage,,,22
33,any,,21,33
33,birth,202,33,38
33,death,215,1,23
33,marriage,,7,26
34,any,,6,10
34,birth,57,16,3
34,death,54,,5
35,any,,24,35
35,birth,155,45,4
35,death,141,,13
35,marriage,,,4
36,any,,12,17
36,birth,122,14,9
36,death,114,,6
36,marriage,,2,4
37,any,,8,12
37,birth,86,14,5
37,death,78,2,2
37,marriage,,,7
38,any,,23,22
38,birth,71,10,12
38,death,46,4,
39,any,,19,5
39,birth,89,21,
39,death,73,4,
40,any,,68,38
40,birth,202,39,9
40,death,198,5,10
40,marriage,,16,4
41,any,,39,8
41,birth,70,14,2
41,death,48,4,
41,marriage,,6,2
42,any,,10,13
42,birth,107,11,4
42,death,90,,4
42,marriage,,,2
43,any,,2,9
43,birth,120,43,8
43,death,96,15,6
43,marriage,,21,
44,any,,5,6
44,birth,93,20,7
44,death,83,2,3
44,marriage,,,7
45,any,,64,55
45,birth,225,47,1
45,death,196,43,12
45,residence,,43,
46,any,,19,6
46,birth,91,8,3
46,death,73,,
47,any,,14,5
47,birth,84,11,41
47,death,69,,24
47,marriage,,,30
48,any,,16,27
48,birth,83,18,10
48,death,65,3,
48,marriage,,3,
48,residence,,6,10
49,any,,24,20
49,birth,99,23,6
49,death,90,26,3
49,marriage,,20,3
49,residence,,14,
50,any,,62,62
50,birth,326,17,24
50,death,273,39,6
50,marriage,,1,10
50,residence,,1,16
51,any,,9,18
51,birth,88,8,6
51,death,67,,16
52,any,,2,7
52,birth,106,7,6
52,death,82,,3
52,marriage,,,3
53,any,,17,1
53,birth,84,20,12
53,death,72,2,12
53,marriage,,16,12
54,any,,2,1
54,birth,108,16,1
54,death,81,,
54,marriage,,3,1
55,any,,9,20
55,birth,149,16,11
55,death,127,4,
56,any,,11,7
56,birth,131,6,4
56,death,105,2,2
56,marriage,,,2
57,any,,33,5
57,birth,59,34,10
57,death,35,,10
57,residence,,18,
58,any,,1,16
58,birth,112,6,19
58,death,84,2,
59,any,,14,4
59,birth,70,20,6
59,death,68,6,
59,marriage,,2,2
60,any,,30,120
60,birth,264,25,40
60,death,230,10,75
60,marriage,,,4
60,residence,,,43
61,any,,28,32
61,birth,83,26,30
61,death,61,,
61,residence,,,18
62,any,,6,1
62,birth,81,14,7
62,death,62,,6
63,any,,5,
63,birth,90,24,
63,death,77,,
63,marriage,,11,2
64,any,,2,10
64,birth,64,12,4
64,death,53,,2
64,marriage,,2,
65,any,,29,7
65,birth,152,30,2
65,death,116,8,1
65,marriage,,7,16
65,residence,,2,
66,any,,13,12
66,birth,71,4,2
66,death,59,,
66,marriage,,,1
67,any,,13,10
67,birth,60,10,6
67,death,43,5,
67,marriage,,3,
68,any,,,3
68,birth,107,3,2
68,death,89,,
68,marriage,,1,2
69,any,,30,8
69,birth,112,13,13
69,death,99,28,7
69,marriage,,,10
70,any,,21,82
70,birth,199,22,27
70,death,184,10,57
70,residence,,,2
71,any,,2,30
71,birth,49,11,21
71,death,44,,3
71,marriage,,,7
72,any,,10,24
72,birth,59,21,8
72,death,50,2,8
72,marriage,,,1
72,residence,,6,
73,any,,4,
73,birth,81,15,2
73,death,66,,
74,any,,31,4
74,birth,74,34,4
74,death,65,24,
75,any,,15,50
75,birth,167,15,45
75,death,147,9,45
75,marriage,,3,11
76,any,,1,1
76,birth,97,4,
76,death,78,,
77,any,,3,10
77,birth,43,3,11
77,death,34,,6
78,any,,6,8
78,birth,107,16,
78,death,93,4,
78,marriage,,9,
79,any,,3,3
79,birth,65,14,
79,death,52,,
80,any,,21,32
80,birth,267,18,14
80,death,247,,18
81,any,,6,3
81,birth,40,5,
81,death,38,,
82,any,,4,3
82,birth,66,15,8
82,death,58,,5
82,marriage,,,4
83,any,,3,6
83,birth,73,13,9
83,death,66,,11
83,marriage,,,10
84,any,,8,6
84,birth,63,10,
84,death,57,,11
85,any,,,4
85,birth,167,23,4
85,death,161,4,5
85,marriage,,3,
86,any,,20,
86,birth,88,7,
86,death,83,,
87,any,,4,2
87,birth,65,7,4
87,death,62,,6
88,any,,,18
88,birth,62,10,
88,death,54,,4
89,any,,2,
89,birth,75,14,10
89,death,68,,9
89,marriage,,,3
90,any,,7,24
90,birth,176,17,12
90,death,176,6,
90,marriage,,7,6
91,any,,11,
91,birth,35,11,4
91,death,47,2,
91,marriage,,,4
92,any,,4,1
92,birth,50,7,3
92,death,48,,3
92,marriage,,,3
93,any,,5,2
93,birth,70,9,2
93,death,58,,2
93,marriage,,,2
94,any,,7,
94,birth,45,1,3
94,death,44,,3
94,marriage,,,5
95,any,,10,6
95,birth,92,12,2
95,death,89,1,3
96,any,,3,
96,birth,80,7,
96,death,79,,
97,any,,13,18
97,birth,61,8,
97,death,61,,14
97,marriage,,,8
97,residence,,,14
98,any,,3,10
98,birth,71,5,2
98,death,69,,5
98,marriage,,,2
99,any,,16,5
99,birth,56,1,23
99,death,52,16,5
100,any,,60,16
100,birth,493,9,5
100,death,370,2,
100,marriage,21,1,
100,other,10,,
100,residence,9,,
101,any,,7,
101,birth,17,4,
101,death,13,2,
102,any,,11,11
102,birth,28,7,4
102,death,24,,2
103,any,,15,
103,birth,23,12,
103,death,20,,
104,any,,2,
104,birth,8,,
104,death,6,,
105,any,,9,
105,birth,29,6,4
105,death,28,,4
106,any,,2,
106,birth,10,1,
106,death,8,,
107,any,,2,
107,birth,24,1,
107,death,18,,
108,any,,7,
108,birth,20,4,
108,death,12,,
109,any,,7,
109,birth,23,,
109,death,18,,
110,any,,2,1
110,birth,34,16,2
110,death,28,,
110,marriage,,12,
110,residence,,2,
111,birth,19,2,
111,death,18,,
112,any,,1,
112,birth,37,2,
112,death,35,2,
113,any,,1,
113,birth,14,3,
113,death,12,,
113,marriage,,1,
114,birth,9,,
114,death,8,,
115,any,,1,
115,birth,15,2,2
115,death,14,,
116,any,,8,
116,birth,4,,2
116,death,2,,2
117,birth,4,,
117,death,2,,
118,birth,4,,
118,death,2,,
119,birth,10,1,
119,death,10,,
120,any,,10,1
120,birth,49,5,2
120,death,40,,2
121,any,,1,
121,birth,16,1,
121,death,12,,
122,any,,2,
122,birth,10,18,
122,death,9,18,
123,any,,3,
123,birth,26,5,2
123,death,24,2,2
124,any,,2,
124,birth,4,3,
124,death,2,,
125,any,,4,2
125,birth,26,1,
125,death,22,,
126,any,,3,
126,birth,2,3,
126,death,2,2,
127,any,,2,
127,birth,8,5,1
127,death,8,,
128,any,,3,
128,birth,16,1,
128,death,16,,
129,any,,11,
129,birth,7,4,
129,death,6,8,
129,marriage,,3,
130,any,,31,7
130,birth,34,19,4
130,death,30,,2
130,marriage,,2,
130,residence,,6,
131,any,,1,
131,birth,6,1,1
131,death,6,,
132,birth,11,7,
132,death,11,6,
132,marriage,,6,
133,any,,9,
133,birth,8,2,
133,death,8,2,
134,any,,4,
134,birth,10,5,
134,death,10,,
134,marriage,,4,
135,any,,7,
135,birth,26,5,
135,death,24,,
136,any,,7,
136,birth,11,,1
136,death,10,,
137,any,,2,
137,birth,6,5,
137,death,4,2,
138,any,,2,
138,birth,8,3,
138,death,7,3,
138,marriage,,3,
139,any,,1,
139,birth,8,,2
139,death,8,,
139,marriage,,,2
140,any,,8,1
140,birth,28,2,2
140,death,22,,1
140,marriage,,,2
141,birth,1,,4
141,death,,,2
142,any,,1,
142,birth,2,,
142,death,2,,
143,any,,8,
143,birth,,2,
143,marriage,,6,
144,any,,1,
144,birth,4,,
144,death,4,,
145,any,,13,
145,birth,21,1,
145,death,18,,
146,any,,5,
146,birth,3,1,
146,death,2,,
147,any,,5,
147,birth,4,2,
147,marriage,,2,
148,any,,10,
148,birth,2,8,
148,death,2,,
148,marriage,,3,
149,birth,12,,
149,death,8,,
150,any,,58,4
150,birth,53,20,
150,death,43,12,
150,marriage,,4,
150,residence,,1,
151,any,,6,
151,birth,8,,
151,death,6,,
151,marriage,,1,
152,birth,2,,
152,death,2,,
152,residence,,1,
153,any,,3,
153,birth,5,3,3
153,death,4,,3
153,marriage,,,3
154,any,,3,
154,birth,12,,
154,death,10,2,
155,any,,12,
155,birth,15,2,
155,death,12,,
155,marriage,,9,
156,any,,3,
156,birth,8,,
156,death,6,,
157,any,,11,
157,birth,4,10,
157,death,2,,
158,any,,10,
158,birth,10,,4
158,death,10,,2
158,marriage,,,2
159,any,,2,
159,birth,12,3,
159,death,12,,
160,any,,30,10
160,birth,16,15,
160,death,17,7,
160,marriage,,1,10
160,residence,,3,6
161,any,,2,
161,birth,5,1,
161,death,4,,
162,any,,4,
162,birth,10,6,
162,death,8,,
162,marriage,,,1
163,any,,2,
163,birth,16,2,2
163,death,12,,2
164,any,,7,
164,birth,13,1,1
164,death,10,,
164,residence,,1,
165,any,,7,1
165,birth,8,10,
165,death,5,2,
165,marriage,,2,
166,any,,6,
166,birth,4,6,2
166,death,4,,
166,marriage,,2,
167,any,,2,
167,birth,4,11,4
167,death,4,6,4
167,marriage,,2,
168,any,,3,1
168,birth,4,4,3
168,death,2,,2
168,marriage,,2,
169,any,,3,1
169,birth,16,9,2
169,death,10,6,
169,marriage,,3,2
170,any,,59,14
170,birth,10,28,5
170,death,8,24,
170,marriage,,9,
171,any,,8,
171,birth,5,3,10
171,death,5,5,10
171,marriage,,1,
172,any,,8,1
172,birth,2,10,
172,death,,3,
172,marriage,,5,
173,any,,5,
173,birth,7,8,3
173,death,6,2,3
173,marriage,,,3
174,any,,7,
174,birth,4,14,
174,death,4,11,
174,marriage,,3,
175,any,,19,
175,birth,11,6,11
175,death,6,7,11
175,marriage,,4,3
176,any,,10,
176,birth,7,9,5
176,death,4,2,
176,marriage,,6,4
177,any,,12,
177,birth,10,6,7
177,death,8,6,3
177,marriage,,2,3
178,any,,22,1
178,birth,11,13,11
178,death,6,4,4
178,marriage,,,4
179,any,,40,5
179,birth,8,21,
179,death,2,3,
179,marriage,,10,
180,any,,113,4
180,birth,73,71,10
180,death,53,19,1
180,marriage,,23,4
180,other,,4,
180,residence,,12,1
181,any,,20,2
181,birth,13,48,12
181,death,6,10,4
181,marriage,,9,
181,other,,,4
181,residence,,10,
182,any,,80,9
182,birth,9,33,19
182,death,6,9,13
182,marriage,,30,
182,residence,,9,8
183,any,,38,13
183,birth,21,46,23
183,death,16,10,5
183,marriage,,30,13
183,residence,,2,
184,any,,81,
184,birth,35,83,35
184,death,28,60,24
184,marriage,,25,30
184,other,,10,
184,residence,,7,
185,any,,124,1
185,birth,46,99,19
185,death,29,48,9
185,marriage,,40,9
185,other,,2,14
185,residence,,5,
186,any,,40,9
