year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
"*",any,,6337,347143
"*",birth,,2453,78747
"*",death,,2901,50032
"*",marriage,,1002,26816
"*",residence,,694,8991
1,any,,150,
1,birth,,30,4
1,death,,7,3
1,marriage,,12,3
2,any,,9,
2,birth,,5,
2,death,,3,
3,any,,,2
3,death,,,2
4,any,,8,
5,any,,4,
5,birth,,2,
6,any,,3,
6,birth,,2,
6,death,,3,
7,any,,1,
7,birth,,4,
7,death,,,1
8,any,,3,
9,any,,3,
10,any,,20,1
11,any,,1,
12,any,,1,
13,any,,1,
14,any,,,1
15,any,,5,
16,any,,7,
17,any,,8,
17,birth,,2,
17,death,,1,
18,any,,43,2
18,birth,,14,2
18,death,,14,
18,marriage,,6,
18,residence,,3,
19,any,,55,
19,birth,,30,
19,death,,6,
20,any,,10,
20,death,,3,
21,any,,2,
22,any,,4,
23,any,,1,
25,any,,3,
26,any,,3,
27,any,,10,
27,death,,2,
28,any,,6,
29,any,,6,
29,birth,,2,
30,any,,8,
31,any,,2,
32,any,,4,
32,birth,,3,
33,any,,7,4
34,any,,2,1
34,birth,,,1
36,any,,6,
37,any,,2,
38,any,,6,
39,any,,14,
39,birth,,12,
40,any,,20,1
40,birth,,12,
41,any,,1,
42,any,,2,
43,any,,1,
44,any,,11,
46,any,,3,
47,any,,1,
49,any,,,3
50,any,,12,11
50,birth,,2,10
52,any,,2,1
55,any,,2,2
57,any,,1,
60,any,,11,
60,birth,,2,
60,death,,6,
60,marriage,,1,
61,any,,,2
61,death,,,2
64,any,,1,
65,any,,4,4
65,death,,,4
66,any,,1,4
69,any,,1,2
69,birth,,,2
70,any,,8,12
70,birth,,3,2
70,death,,3,
70,residence,,3,
71,any,,5,
74,any,,2,
76,any,,1,2
77,death,,2,
78,any,,3,3
79,any,,,1
80,any,,,3
80,death,,,5
83,any,,1,
89,any,,1,
90,any,,2,4
90,birth,,,4
91,any,,1,
93,any,,3,
95,any,,1,
96,any,,2,
97,any,,1,
100,any,,24,6
100,birth,9,8,2
105,any,,1,
110,any,,1,
111,any,,2,
115,birth,,1,
120,any,,4,1
120,birth,,1,
129,any,,1,
130,any,,4,14
134,any,,2,
140,any,,1,
140,birth,,1,
146,residence,,1,
150,any,,3,
151,any,,1,
157,any,,1,
159,any,,1,
160,any,,3,
161,any,,1,
163,any,,3,
163,death,,2,
167,any,,2,
168,any,,1,
168,birth,,1,
170,any,,4,
173,any,,1,
174,any,,2,
175,any,,6,
176,any,,1,
177,any,,3,
177,birth,,2,
178,any,,2,
178,marriage,,2,
179,any,,1,
180,any,,7,
180,birth,,3,
180,death,,2,
180,residence,,2,
182,any,,2,
183,any,,6,
184,any,,5,
185,any,,8,
185,birth,,18,
185,death,,24,
186,any,,3,
187,any,,4,
187,birth,,2,
188,any,,4,
189,birth,,1,
190,any,,6,
190,birth,,1,
191,any,,1,
192,any,,9,
192,birth,,3,
192,death,,4,
193,any,,5,
194,any,,5,
196,any,,2,
196,birth,,1,
197,any,,6,
197,birth,,2,
198,any,,3,
198,birth,,1,
199,any,,2,
200,any,,27,4
200,birth,2,11,
200,death,,1,
200,residence,,3,
201,any,,3,3
202,any,,1,
204,any,,1,
206,any,,,1
208,any,,1,
209,any,,5,
209,death,,4,
220,any,,1,
220,birth,,1,
224,any,,2,
228,any,,2,
242,any,,6,
242,birth,,6,
245,any,,1,
247,any,,1,
247,birth,,2,
283,any,,1,
299,any,,1,
300,any,,3,
300,birth,2,2,1
304,any,,1,
323,any,,1,
348,any,,,4
348,birth,,,4
350,any,,5,
350,birth,,,1
355,any,,2,
356,any,,3,
380,any,,1,6
390,birth,,4,
