year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
"*",any,,56104,3857286
"*",birth,,53535,5010410
"*",death,,61597,1583939
"*",marriage,,6257,289479
"*",residence,,7989,124126
1,any,,1588,119
1,birth,4453,4968,4594
1,death,4244,2499,4469
1,marriage,220,215,36
1,residence,13,202,3
2,any,,120,25
2,birth,85,671,4095
2,death,34,484,3869
2,marriage,23,6,3
2,residence,,37,3
3,any,,56,6
3,birth,50,982,3668
3,death,15,822,3472
3,marriage,6,,
4,any,,50,5
4,birth,36,1133,3674
4,death,9,772,3448
4,marriage,5,6,3
4,residence,,2,2
5,any,,110,14
5,birth,84,1003,3779
5,death,26,687,3477
5,marriage,19,4,6
5,residence,,18,
6,any,,90,4
6,birth,60,545,3803
6,death,21,374,3361
6,marriage,28,,3
6,residence,,21,
7,any,,76,9
7,birth,21,654,4090
7,death,5,402,3897
7,marriage,,7,
7,residence,,4,
8,any,,88,26
8,birth,61,762,3819
8,death,9,422,3676
8,marriage,2,32,1
8,residence,,4,
9,any,,99,3
9,birth,40,429,3501
9,death,23,237,3311
9,marriage,10,8,
9,residence,,4,
10,any,,142,15
10,birth,114,950,4569
10,death,24,603,3890
10,marriage,6,18,6
10,residence,,12,4
11,any,,51,22
11,birth,52,517,3661
11,death,13,232,3436
11,marriage,12,5,3
12,any,,129,22
12,birth,64,824,4106
12,death,16,360,3609
12,marriage,15,12,43
12,residence,,,9
13,any,,115,32
13,birth,41,1102,3115
13,death,16,509,2846
13,marriage,20,9,3
13,residence,,1,
14,any,,100,14
14,birth,25,1663,2522
14,death,11,1267,2040
14,marriage,3,2,
14,residence,,2,
15,any,,101,10
15,birth,29,837,3661
15,death,3,518,3103
15,marriage,2,4,5
15,residence,,12,
16,any,,117,26
16,birth,64,829,3586
16,death,26,542,3327
16,marriage,6,22,6
16,residence,,4,
17,any,,138,15
17,birth,259,1677,3929
17,death,115,531,3563
17,marriage,24,67,4
17,residence,,,4
18,any,,366,21
18,birth,485,1200,2872
