yearInQuestion,count
1,952
2,28
3,34
4,13
5,28
6,12
7,19
8,20
9,19
10,25
11,16
12,19
13,27
14,13
15,42
16,23
17,40
18,102
19,80
20,29
21,9
22,23
23,20
24,22
25,33
26,10
27,14
28,29
29,18
30,24
31,9
32,1
33,15
34,2
35,15
36,12
37,7
38,18
39,18
40,38
41,7
42,7
43,7
44,8
45,13
46,5
47,7
48,3
49,8
50,36
51,11
52,12
53,12
54,10
55,13
56,5
57,9
58,8
59,6
60,21
61,19
62,7
63,7
64,2
65,15
66,8
67,8
68,7
69,7
70,21
71,5
72,5
73,11
74,9
75,7
76,11
77,4
78,2
79,4
80,15
81,2
82,6
83,3
84,5
85,11
86,9
87,6
88,2
89,7
90,8
91,5
92,3
93,8
94,7
95,8
96,7
98,3
99,2
100,15
105,2
106,2
107,1
109,1
110,2
113,1
120,4
122,9
123,2
126,1
129,4
130,4
131,2
135,8
137,2
140,2
145,1
146,1
150,13
151,1
153,1
158,2
160,18
162,3
164,1
167,3
168,1
169,1
170,16
171,2
172,2
173,3
174,4
175,1
176,2
177,1
178,2
179,4
180,18
181,9
182,5
183,19
184,24
185,19
186,15
187,14
188,25
189,11
190,34
191,13
192,23
193,15
194,17
195,25
196,12
197,9
198,14
199,12
200,5
201,3
202,1
203,1
204,2
205,2
210,1
211,1
221,2
223,1
227,1
323,4
340,3
365,1
400,3
403,1
431,1
500,2
510,1
522,1
600,4
610,2
616,2
630,1
632,4
650,3
678,1
687,1
697,1
700,9
706,1
712,2
713,1
743,2
750,1
753,1
768,3
770,1
778,1
786,1
792,1
799,1
800,1
810,2
811,1
812,2
813,1
814,1
820,3
823,1
828,2
830,3
835,4
837,1
838,4
840,7
847,3
849,1
850,6
854,1
855,1
858,1
863,4
868,1
870,1
875,3
876,1
880,1
882,1
884,1
885,3
887,3
890,9
893,1
897,2
898,2
899,1
900,14
904,7
905,4
907,1
908,1
910,3
911,1
912,1
913,1
915,2
918,1
920,1
921,4
926,4
928,2
932,2
933,2
934,3
935,1
936,1
937,1
942,3
944,1
945,1
948,1
949,1
953,2
957,3
960,2
963,1
965,1
967,1
971,1
980,1
985,1
989,1
1000,175
1001,1
1005,3
1007,3
1009,2
1010,1
1011,1
1012,4
1013,14
1014,8
1015,1
1017,1
1018,1
1020,17
1021,6
1022,2
1023,3
1024,1
1025,5
1027,7
1029,3
1030,6
1033,2
1034,3
1035,3
1037,2
1039,2
1040,13
1041,3
1044,2
1045,1
1046,3
1047,3
1049,2
1050,14
1052,3
1056,3
1057,2
1060,3
1061,1
1062,1
1063,3
1065,1
1067,8
1068,21
1069,1
1071,2
1073,1
1074,3
1075,1
1078,5
1079,1
1080,7
1082,2
1084,2
1085,15
1086,1
1090,20
1091,1
1092,4
1093,4
1094,2
1095,9
1099,1
1100,28
1104,1
1105,4
1106,15
1109,3
1110,3
1112,2
1120,7
1121,2
1122,3
1123,1
1130,1
1133,3
1134,3
1135,1
1137,1
1138,1
1140,1
1143,1
1148,1
1150,4
1158,1
1160,3
1161,1
1163,1
1170,2
1171,1
1175,2
1176,1
1180,7
1181,2
1186,6
1187,1
1190,14
1200,46
1203,1
1210,1
1212,1
1215,4
1218,1
1219,1
1221,2
1227,2
1230,4
1234,1
1235,2
1247,1
1249,3
1250,3
1251,1
1258,1
1260,3
1265,1
1268,2
1270,4
1273,1
1274,24
1277,2
1279,1
1280,1
1284,2
1287,1
1290,2
1291,1
1292,1
1293,1
1294,1
1296,1
1298,1
1300,73
1302,4
1303,3
1306,3
1308,3
1309,1
1311,1
1312,1
1314,1
1315,1
1318,1
1320,2
1323,1
1326,1
1327,1
1329,5
1330,10
1338,1
1339,1
1340,3
1343,4
1344,1
1346,1
1347,3
1348,2
1350,10
1351,1
1352,1
1358,1
1360,8
1361,1
1363,1
1365,3
1368,2
1372,3
1373,6
1375,1
1378,2
1380,3
1385,1
1386,1
1388,2
1390,7
1393,4
1394,1
1395,3
1396,2
1397,1
1398,1
1400,503
1401,2
1403,1
1404,2
1405,1
1406,2
1410,1
1412,1
1414,1
1415,6
1416,2
1418,3
1419,1
1420,11
1422,3
1425,7
1426,1
1428,2
1430,6
1431,1
1432,8
1435,1
1436,1
1437,2
1438,3
1439,2
1440,16
1441,1
1442,19
1443,2
1444,1
1445,9
1448,1
1449,1
1450,105
1451,3
1452,7
1453,12
1454,3
1455,3
1456,1
1457,1
1458,5
1460,18
1461,1
1462,3
1464,2
1465,4
1466,3
1467,7
1468,8
1469,2
1470,26
1472,6
1473,13
1474,2
1475,14
1476,6
1477,26
1478,8
1480,40
1481,4
1482,1
1483,1
1484,4
1485,25
1486,2
1487,7
1488,23
1489,1
1490,30
1491,5
1492,18
1493,1
1495,18
1497,11
1498,6
1499,6
1500,9488
1501,11
1502,2
1503,25
1504,29
1505,30
1506,6
1507,6
1508,20
1509,1
1510,81
1511,13
1512,18
1513,6
1514,12
1515,69
1516,11
1517,8
1518,10
1519,18
1520,153
1521,4
1522,6
1523,22
1524,17
1525,41
1526,14
1527,3
1528,33
1529,2
1530,249
1531,1
1532,10
1533,36
1534,5
1535,43
1536,15
1537,8
1538,122
1539,34
1540,231
1541,12
1542,11
1543,16
1544,34
1545,56
1546,15
1547,24
1548,59
1549,10
1550,1196
1551,25
1552,5
1553,83
1554,31
1555,94
1556,23
1557,28
1558,51
1559,46
1560,411
1561,26
1562,44
1563,44
1564,25
1565,136
1566,47
1567,46
1568,63
1569,33
1570,543
1571,33
1572,63
1573,46
1574,69
1575,162
1576,45
1577,78
1578,92
1579,44
1580,711
1581,36
1582,47
1583,38
1584,18
1585,183
1586,55
1587,94
1588,128
1589,33
1590,630
1591,42
1592,68
1593,51
1594,101
1595,177
1596,54
1597,59
1598,65
1599,73
1600,15510
1601,108
1602,24
1603,74
1604,52
1605,116
1606,79
1607,47
1608,91
1609,75
1610,393
1611,83
1612,66
1613,79
1614,112
1615,232
1616,88
1617,156
1618,201
1619,94
1620,849
1621,93
1622,100
1623,144
1624,93
1625,359
1626,87
1627,68
1628,158
1629,74
1630,807
1631,45
1632,93
1633,123
1634,114
1635,313
1636,84
1637,83
1638,134
1639,110
1640,1016
1641,83
1642,71
1643,126
1644,123
1645,378
1646,275
1647,113
1648,263
1649,102
1650,3916
1651,96
1652,101
1653,109
1654,136
1655,361
1656,71
1657,110
1658,145
1659,155
1660,1286
1661,109
1662,62
1663,214
1664,166
1665,419
1666,154
1667,188
1668,172
1669,171
1670,1551
1671,151
1672,141
1673,230
1674,161
1675,491
1676,161
1677,225
1678,249
1679,203
1680,2604
1681,229
1682,284
1683,240
1684,133
1685,455
1686,196
1687,291
1688,295
1689,228
1690,1659
1691,244
1692,773
1693,648
1694,445
1695,706
1696,195
1697,236
1698,297
1699,250
1700,28648
1701,281
1702,252
1703,256
1704,252
1705,550
1706,215
1707,224
1708,486
1709,323
1710,1630
1711,241
1712,400
1713,347
1714,348
1715,811
1716,324
1717,353
1718,451
1719,322
1720,3352
1721,325
1722,345
1723,461
1724,402
1725,1179
1726,609
1727,483
1728,603
1729,501
1730,3523
1731,441
1732,563
1733,541
1734,624
1735,949
1736,398
1737,408
1738,598
1739,608
1740,4693
1741,470
1742,707
1743,504
1744,689
1745,1811
1746,565
1747,623
1748,899
1749,687
1750,10984
1751,597
1752,747
1753,894
1754,751
1755,1711
1756,880
1757,719
1758,1000
1759,866
1760,5517
1761,901
1762,866
1763,1255
1764,879
1765,1884
1766,1029
1767,740
1768,1377
1769,1119
1770,7014
1771,947
1772,1095
1773,1107
1774,1089
1775,3190
1776,1603
1777,1632
1778,1382
1779,1162
1780,9415
1781,1158
1782,1363
1783,1530
1784,1631
1785,2872
1786,1626
1787,1347
1788,1897
1789,1685
1790,10063
1791,1559
1792,1655
1793,1780
1794,1645
1795,4136
1796,2132
1797,2221
1798,3057
1799,2324
1800,54511
1801,2566
1802,2204
1803,2898
1804,2082
1805,4323
1806,2519
1807,2678
1808,2993
1809,2775
1810,9594
1811,3012
1812,3331
1813,2921
1814,3083
1815,6658
1816,3627
1817,4051
1818,5435
1819,3567
1820,16652
1821,3500
1822,3742
1823,3931
1824,4031
1825,7753
1826,3889
1827,3805
1828,5019
1829,4083
1830,18784
1831,4542
1832,4818
1833,4793
